,bathrooms,square_feet,price
2,1.0,720.0,90.0
3,1.0,0.0,26.0
8,1.0,0.0,90.0
13,1.0,0.0,98.0
14,1.0,753.0,160.0
18,2.0,1012.0,197.0
20,1.0,0.0,90.0
25,1.0,0.0,62.0
26,1.0,0.0,55.0
28,1.0,646.0,25.0
29,1.0,0.0,52.0
30,1.5,0.0,39.0
33,1.0,215.0,50.0
35,1.0,452.0,40.0
39,1.0,807.0,42.0
42,1.0,474.0,48.0
44,1.0,431.0,70.0
48,1.0,323.0,90.0
54,1.5,0.0,130.0
56,1.5,1615.0,120.0
60,1.0,775.0,102.0
61,1.0,0.0,29.0
62,1.0,0.0,84.0
63,1.0,495.0,80.0
65,1.0,1087.0,185.0
66,1.0,323.0,49.0
71,2.0,0.0,70.0
73,1.0,484.0,75.0
79,1.0,484.0,50.0
81,1.0,0.0,80.0
85,1.0,65.0,69.0
86,1.0,969.0,75.0
87,1.0,388.0,68.0
95,1.0,0.0,55.0
104,1.0,269.0,29.0
105,1.0,54.0,100.0
108,1.0,0.0,70.0
111,1.0,0.0,49.0
115,1.0,15.0,23.0
118,1.0,46.0,70.0
119,2.0,1023.0,80.0
121,1.0,646.0,96.0
126,2.0,1292.0,296.0
127,2.0,1292.0,244.0
129,1.0,861.0,50.0
130,1.0,517.0,59.0
131,1.0,570.0,75.0
132,1.5,0.0,170.0
134,1.0,0.0,39.0
135,1.0,0.0,64.0
137,1.0,463.0,100.0
138,2.5,1722.0,375.0
141,1.0,678.0,45.0
142,1.5,1615.0,120.0
149,1.0,581.0,50.0
150,1.0,527.0,49.0
152,1.0,474.0,79.0
153,1.0,409.0,75.0
155,1.0,220.0,38.0
156,1.0,0.0,65.0
157,1.5,431.0,75.0
160,1.0,20.0,89.0
166,1.0,646.0,89.0
169,1.0,0.0,49.0
170,1.0,161.0,50.0
172,1.0,258.0,35.0
175,1.0,753.0,150.0
181,1.0,172.0,35.0
189,2.0,1292.0,110.0
190,1.0,753.0,95.0
192,1.0,0.0,30.0
194,1.0,377.0,65.0
195,1.0,97.0,46.0
196,2.5,1722.0,65.0
198,1.0,344.0,30.0
205,1.0,829.0,82.0
209,1.0,388.0,43.0
210,1.0,646.0,85.0
215,1.0,215.0,31.0
216,2.0,0.0,35.0
218,2.0,775.0,100.0
219,1.0,50.0,95.0
220,1.0,538.0,95.0
222,1.0,775.0,175.0
223,1.0,840.0,130.0
230,1.0,517.0,79.0
231,1.1244292237442923,484.0,23.0
236,1.0,753.0,91.0
237,1.0,549.0,69.0
252,1.0,269.0,55.0
256,2.0,258.0,32.0
257,2.0,280.0,32.0
258,2.0,129.0,28.0
259,1.0,431.0,49.0
261,1.0,409.0,80.0
262,1.0,431.0,75.0
263,1.0,377.0,55.0
265,1.0,915.0,96.0
268,1.0,646.0,59.0
269,2.0,0.0,99.0
273,1.0,732.0,69.0
274,1.1244292237442923,70.0,69.0
275,1.0,807.0,60.0
277,2.0,172.0,60.0
278,1.0,0.0,29.0
281,1.0,861.0,75.0
293,1.0,0.0,48.0
294,1.0,0.0,55.0
296,1.0,753.0,69.0
297,1.5,517.0,46.0
299,1.0,0.0,53.0
300,1.0,70.0,65.0
305,1.0,678.0,61.0
307,1.1244292237442923,355.0,60.0
313,1.0,0.0,59.0
317,1.0,753.0,45.0
319,1.0,17.0,29.0
327,1.0,248.0,50.0
331,1.0,753.0,40.0
333,1.0,0.0,55.0
335,1.0,194.0,66.0
336,2.0,0.0,37.0
340,1.0,409.0,70.0
342,1.0,570.0,69.0
343,1.0,269.0,35.0
344,1.0,0.0,65.0
345,2.0,1400.0,235.0
346,1.0,452.0,38.0
347,1.0,495.0,54.0
350,1.0,807.0,84.0
352,1.0,258.0,43.0
356,1.0,0.0,44.0
358,1.0,0.0,87.0
359,1.0,0.0,95.0
373,1.0,226.0,48.0
378,1.1244292237442923,592.0,65.0
382,1.0,0.0,48.0
384,1.0,0.0,35.0
390,1.0,560.0,59.0
395,1.0,689.0,78.0
396,1.0,151.0,49.0
398,1.0,0.0,33.0
399,1.0,0.0,33.0
400,1.0,0.0,33.0
401,1.0,0.0,60.0
402,1.0,797.0,48.0
404,1.0,474.0,45.0
405,1.0,0.0,25.0
407,1.0,440.0,49.0
409,1.0,0.0,33.0
417,1.0,646.0,80.0
419,1.0,646.0,180.0
421,1.0,775.0,50.0
423,1.0,678.0,39.0
424,1.0,377.0,64.0
425,1.0,0.0,100.0
427,1.0,377.0,70.0
428,1.0,700.0,85.0
430,1.0,592.0,75.0
434,1.0,269.0,29.0
438,1.0,807.0,95.0
443,1.0,592.0,109.0
444,2.0,1399.0,130.0
445,1.0,0.0,90.0
449,1.5,1238.0,209.0
451,1.0,323.0,44.0
452,1.5,269.0,34.0
458,1.0,915.0,189.0
461,1.0,0.0,15.0
467,1.0,334.0,65.0
468,1.0,161.0,44.0
470,1.0,1076.0,45.0
471,1.5,721.0,50.0
475,1.0,807.0,39.0
483,2.0,1830.0,235.0
489,1.0,689.0,37.0
492,1.0,0.0,51.0
501,0.5,409.0,21.0
502,1.0,0.0,80.0
503,1.0,538.0,38.0
512,1.5,0.0,85.0
513,1.0,0.0,39.0
515,1.0,538.0,50.0
516,1.0,70.0,69.0
518,1.1244292237442923,0.0,60.0
519,1.5,1399.0,120.0
527,1.0,0.0,33.0
532,1.0,215.0,30.0
533,1.0,1076.0,120.0
543,1.0,0.0,22.0
545,1.0,650.0,45.0
549,1.0,0.0,55.0
550,1.0,592.0,48.0
552,1.0,172.0,25.0
554,1.0,0.0,50.0
555,1.0,1076.0,65.0
556,1.0,592.0,35.0
557,1.0,689.0,160.0
558,1.0,33.0,140.0
560,1.0,431.0,70.0
568,1.0,753.0,75.0
573,1.0,431.0,37.0
574,1.0,0.0,62.0
576,1.0,861.0,45.0
577,1.0,484.0,60.0
579,1.0,0.0,85.0
584,1.0,624.0,99.0
586,2.0,24.0,35.0
589,1.0,0.0,34.0
590,1.0,667.0,35.0
594,1.0,570.0,45.0
597,1.0,161.0,19.0
599,1.0,323.0,39.0
600,1.0,700.0,89.0
601,1.0,0.0,40.0
603,1.0,603.0,65.0
604,1.0,710.0,45.0
606,1.0,0.0,43.0
609,1.0,0.0,45.0
610,1.0,452.0,69.0
612,1.0,969.0,39.0
614,0.5,0.0,35.0
615,1.0,450.0,75.0
618,1.0,3337.0,200.0
624,2.0,1722.0,50.0
626,1.5,753.0,208.0
628,1.0,0.0,45.0
631,1.0,0.0,35.0
633,1.0,915.0,44.0
634,1.5,753.0,45.0
635,1.0,0.0,50.0
640,2.0,1292.0,125.0
642,1.0,592.0,55.0
643,1.0,323.0,34.0
645,1.0,4639.0,35.0
651,1.0,710.0,80.0
654,1.0,452.0,38.0
655,1.0,721.0,73.0
659,1.0,1033.0,160.0
661,1.0,753.0,85.0
664,2.0,161.0,35.0
672,2.0,1130.0,68.0
680,1.0,0.0,60.0
681,1.0,0.0,45.0
682,1.0,194.0,35.0
684,1.0,0.0,100.0
685,1.0,301.0,65.0
687,1.0,0.0,52.0
700,1.0,0.0,49.0
701,1.0,0.0,63.0
706,1.0,700.0,52.0
707,1.0,538.0,80.0
708,1.0,366.0,55.0
712,1.0,215.0,29.0
719,1.0,1033.0,69.0
726,1.5,0.0,68.0
727,1.0,215.0,35.0
728,1.0,312.0,44.0
731,1.0,829.0,50.0
733,1.0,700.0,190.0
738,1.0,0.0,29.0
739,1.0,431.0,54.0
742,1.0,700.0,85.0
746,2.0,2368.0,455.0
749,2.0,2260.0,70.0
752,1.0,818.0,60.0
757,1.0,592.0,79.0
762,1.0,603.0,79.0
765,1.0,0.0,47.0
772,1.0,484.0,40.0
781,2.0,323.0,45.0
782,1.0,0.0,30.0
784,1.0,431.0,88.0
789,1.0,0.0,35.0
791,1.0,807.0,139.0
792,1.0,431.0,79.0
797,1.0,689.0,45.0
798,1.0,0.0,75.0
801,1.0,667.0,50.0
805,1.0,377.0,31.0
813,1.0,646.0,100.0
819,1.0,646.0,100.0
824,1.0,0.0,65.0
825,1.0,118.0,37.0
826,1.0,0.0,146.0
832,1.0,732.0,75.0
840,1.0,1076.0,44.0
841,1.0,409.0,48.0
849,1.0,484.0,100.0
850,1.0,861.0,85.0
851,1.0,775.0,57.0
852,1.0,129.0,33.0
855,1.0,377.0,72.0
856,1.0,0.0,38.0
858,1.0,1055.0,130.0
860,1.0,0.0,40.0
862,1.0,15.0,25.0
868,1.0,0.0,75.0
871,1.0,484.0,60.0
873,1.0,0.0,65.0
874,1.0,807.0,70.0
881,1.0,0.0,29.0
883,1.0,0.0,30.0
884,1.0,936.0,85.0
887,1.0,0.0,43.0
895,1.0,0.0,95.0
898,1.1244292237442923,0.0,35.0
900,1.0,700.0,110.0
904,1.0,0.0,39.0
906,1.0,0.0,82.0
908,1.0,0.0,70.0
912,1.0,1195.0,95.0
917,1.0,280.0,32.0
923,1.0,280.0,46.0
927,1.0,0.0,35.0
929,1.0,0.0,48.0
932,1.5,0.0,150.0
934,1.0,0.0,59.0
936,1.0,0.0,36.0
938,1.0,194.0,36.0
943,1.5,810.0,58.0
944,1.0,915.0,48.0
946,1.0,0.0,55.0
949,1.0,301.0,64.0
950,1.0,484.0,68.0
951,1.0,484.0,68.0
957,1.0,646.0,95.0
958,1.0,0.0,40.0
962,1.0,1184.0,100.0
970,2.0,1206.0,80.0
990,1.0,215.0,58.0
992,1.0,936.0,120.0
1000,1.0,344.0,28.0
1008,1.0,0.0,99.0
1012,1.5,1184.0,120.0
1014,1.0,753.0,78.0
1017,1.0,452.0,28.0
1022,1.0,452.0,47.0
1023,1.0,1076.0,65.0
1024,1.0,484.0,50.0
1028,1.0,0.0,45.0
1029,1.0,0.0,50.0
1031,1.0,1399.0,119.0
1032,1.5,16.0,45.0
1041,1.0,0.0,30.0
1045,1.0,775.0,140.0
1052,1.0,161.0,35.0
1057,1.0,0.0,60.0
1058,1.5,969.0,89.0
1060,1.0,495.0,75.0
1062,2.0,215.0,28.0
1064,1.0,0.0,30.0
1067,1.5,861.0,125.0
1070,2.0,969.0,110.0
1074,1.1244292237442923,0.0,77.0
1076,1.0,861.0,130.0
1079,1.0,0.0,58.0
1081,1.5,1130.0,140.0
1086,2.0,1830.0,200.0
1087,1.0,0.0,68.0
1090,1.0,646.0,45.0
1092,1.0,420.0,29.0
1101,1.0,0.0,50.0
1102,1.0,269.0,45.0
1113,1.0,1539.0,65.0
1116,1.0,431.0,76.0
1117,2.0,0.0,117.0
1118,1.0,55.0,60.0
1120,1.0,646.0,73.0
1124,1.0,323.0,27.0
1128,1.0,377.0,52.0
1129,1.0,0.0,99.0
1131,1.0,0.0,62.0
1144,2.0,1507.0,158.0
1145,1.0,463.0,27.0
1152,1.0,538.0,25.0
1154,1.0,0.0,63.0
1157,1.0,775.0,90.0
1158,1.0,915.0,59.0
1162,1.0,226.0,45.0
1165,1.1244292237442923,0.0,90.0
1167,1.0,807.0,115.0
1170,1.0,538.0,79.0
1171,1.0,291.0,49.0
1175,1.0,1399.0,60.0
1183,1.0,0.0,20.0
1189,1.0,0.0,65.0
1190,1.0,700.0,130.0
1200,1.0,0.0,55.0
1201,1.0,215.0,63.0
1210,1.0,1776.0,120.0
1244,0.5,205.0,24.0
1264,1.0,775.0,89.0
1273,1.0,646.0,69.0
1282,1.0,269.0,80.0
1291,1.0,452.0,52.0
1310,0.5,183.0,28.0
1322,1.0,1367.0,95.0
1323,2.0,240.0,34.0
1326,1.0,0.0,95.0
1331,1.0,431.0,69.0
1349,1.0,678.0,50.0
1351,2.0,1292.0,296.0
1358,1.0,592.0,89.0
1361,1.0,1023.0,90.0
1365,1.0,398.0,250.0
1375,1.0,0.0,52.0
1376,1.0,215.0,69.0
1379,1.0,215.0,37.0
1429,1.0,753.0,99.0
1431,1.0,495.0,50.0
1434,4.5,2153.0,300.0
1439,2.0,1615.0,235.0
1454,2.0,0.0,169.0
1457,1.0,355.0,52.0
1561,1.0,592.0,79.0
1565,1.0,753.0,65.0
1577,1.5,463.0,46.0
1589,1.0,646.0,98.0
1602,1.0,388.0,63.0
1629,1.0,646.0,50.0
1630,1.0,570.0,70.0
1639,1.0,355.0,30.0
1655,1.0,258.0,35.0
1700,1.0,807.0,41.0
1704,1.0,388.0,27.0
1708,2.0,1076.0,190.0
1713,1.0,420.0,48.0
1717,1.0,377.0,52.0
1722,2.0,161.0,40.0
1723,1.0,646.0,80.0
1725,1.0,807.0,72.0
1731,1.0,431.0,60.0
1732,1.0,366.0,69.0
1733,1.0,237.0,34.0
1738,1.0,1184.0,75.0
1755,1.0,355.0,41.0
4476,1.0,0.0,55.0
5270,1.0,0.0,30.0
5361,1.0,0.0,38.0
19434,1.0,0.0,50.0
20062,1.5,1238.0,70.0
21077,1.0,108.0,48.0
21559,2.0,1023.0,30.0
21703,1.0,108.0,28.0
22285,1.0,108.0,35.0
