,CHAS,NOX,RM,DIS,PTRATIO,LSTAT,price
0,0.0,0.538,6.575,4.09,15.3,4.98,24.0
1,0.0,0.469,6.421,4.9671,17.8,9.14,21.6
2,0.0,0.469,7.185,4.9671,17.8,4.03,34.7
3,0.0,0.458,6.998,6.0622,18.7,2.94,33.4
4,0.0,0.458,7.147,6.0622,18.7,5.33,36.2
5,0.0,0.458,6.43,6.0622,18.7,5.21,28.7
6,0.0,0.524,6.012,5.5605,15.2,12.43,22.9
7,0.0,0.524,6.172,5.9505,15.2,19.15,27.1
8,0.0,0.524,5.631,6.0821,15.2,29.93,16.5
9,0.0,0.524,6.004,6.5921,15.2,17.1,18.9
10,0.0,0.524,6.377,6.3467,15.2,20.45,15.0
11,0.0,0.524,6.009,6.2267,15.2,13.27,18.9
12,0.0,0.524,5.889,5.4509,15.2,15.71,21.7
13,0.0,0.538,5.949,4.7075,21.0,8.26,20.4
14,0.0,0.538,6.096,4.4619,21.0,10.26,18.2
15,0.0,0.538,5.834,4.4986,21.0,8.47,19.9
16,0.0,0.538,5.935,4.4986,21.0,6.58,23.1
17,0.0,0.538,5.99,4.2579,21.0,14.67,17.5
18,0.0,0.538,5.456,3.7965,21.0,11.69,20.2
19,0.0,0.538,5.727,3.7965,21.0,11.28,18.2
20,0.0,0.538,5.57,3.7979,21.0,21.02,13.6
21,0.0,0.538,5.965,4.0123,21.0,13.83,19.6
22,0.0,0.538,6.142,3.9769,21.0,18.72,15.2
23,0.0,0.538,5.813,4.0952,21.0,19.88,14.5
24,0.0,0.538,5.924,4.3996,21.0,16.3,15.6
25,0.0,0.538,5.599,4.4546,21.0,16.51,13.9
26,0.0,0.538,5.813,4.682,21.0,14.81,16.6
27,0.0,0.538,6.047,4.4534,21.0,17.28,14.8
28,0.0,0.538,6.495,4.4547,21.0,12.8,18.4
29,0.0,0.538,6.674,4.239,21.0,11.98,21.0
30,0.0,0.538,5.713,4.233,21.0,22.6,12.7
31,0.0,0.538,6.072,4.175,21.0,13.04,14.5
32,0.0,0.538,5.95,3.99,21.0,27.71,13.2
33,0.0,0.538,5.701,3.7872,21.0,18.35,13.1
34,0.0,0.538,6.096,3.7598,21.0,20.34,13.5
35,0.0,0.499,5.933,3.3603,19.2,9.68,18.9
36,0.0,0.499,5.841,3.3779,19.2,11.41,20.0
37,0.0,0.499,5.85,3.9342,19.2,8.77,21.0
38,0.0,0.499,5.966,3.8473,19.2,10.13,24.7
39,0.0,0.428,6.595,5.4011,18.3,4.32,30.8
40,0.0,0.428,7.024,5.4011,18.3,1.98,34.9
41,0.0,0.448,6.77,5.7209,17.9,4.84,26.6
42,0.0,0.448,6.169,5.7209,17.9,5.81,25.3
43,0.0,0.448,6.211,5.7209,17.9,7.44,24.7
44,0.0,0.448,6.069,5.7209,17.9,9.55,21.2
45,0.0,0.448,5.682,5.1004,17.9,10.21,19.3
46,0.0,0.448,5.786,5.1004,17.9,14.15,20.0
47,0.0,0.448,6.03,5.6894,17.9,18.8,16.6
48,0.0,0.448,5.399,5.87,17.9,30.81,14.4
49,0.0,0.448,5.602,6.0877,17.9,16.2,19.4
50,0.0,0.439,5.963,6.8147,16.8,13.45,19.7
51,0.0,0.439,6.115,6.8147,16.8,9.43,20.5
52,0.0,0.439,6.511,6.8147,16.8,5.28,25.0
53,0.0,0.439,5.998,6.8147,16.8,8.43,23.4
54,0.0,0.41,5.888,7.3197,21.1,14.8,18.9
55,0.0,0.403,7.249,8.6966,17.9,4.81,35.4
56,0.0,0.41,6.383,9.1876,17.3,5.77,24.7
57,0.0,0.411,6.816,8.3248,15.1,3.95,31.6
58,0.0,0.453,6.145,7.8148,19.7,6.86,23.3
59,0.0,0.453,5.927,6.932,19.7,9.22,19.6
60,0.0,0.453,5.741,7.2254,19.7,13.15,18.7
61,0.0,0.453,5.966,6.8185,19.7,14.44,16.0
62,0.0,0.453,6.456,7.2255,19.7,6.73,22.2
63,0.0,0.453,6.762,7.9809,19.7,9.5,25.0
64,0.0,0.4161,7.104,9.2229,18.6,8.05,33.0
65,0.0,0.398,6.29,6.6115,16.1,4.67,23.5
66,0.0,0.398,5.787,6.6115,16.1,10.24,19.4
67,0.0,0.409,5.878,6.498,18.9,8.1,22.0
68,0.0,0.409,5.594,6.498,18.9,13.09,17.4
69,0.0,0.409,5.885,6.498,18.9,8.79,20.9
70,0.0,0.413,6.417,5.2873,19.2,6.72,24.2
71,0.0,0.413,5.961,5.2873,19.2,9.88,21.7
72,0.0,0.413,6.065,5.2873,19.2,5.52,22.8
73,0.0,0.413,6.245,5.2873,19.2,7.54,23.4
74,0.0,0.437,6.273,4.2515,18.7,6.78,24.1
75,0.0,0.437,6.286,4.5026,18.7,8.94,21.4
76,0.0,0.437,6.279,4.0522,18.7,11.97,20.0
77,0.0,0.437,6.14,4.0905,18.7,10.27,20.8
78,0.0,0.437,6.232,5.0141,18.7,12.34,21.2
79,0.0,0.437,5.874,4.5026,18.7,9.1,20.3
80,0.0,0.426,6.727,5.4007,19.0,5.29,28.0
81,0.0,0.426,6.619,5.4007,19.0,7.22,23.9
82,0.0,0.426,6.302,5.4007,19.0,6.72,24.8
83,0.0,0.426,6.167,5.4007,19.0,7.51,22.9
84,0.0,0.449,6.389,4.7794,18.5,9.62,23.9
85,0.0,0.449,6.63,4.4377,18.5,6.53,26.6
86,0.0,0.449,6.015,4.4272,18.5,12.86,22.5
87,0.0,0.449,6.121,3.7476,18.5,8.44,22.2
88,0.0,0.489,7.007,3.4217,17.8,5.5,23.6
89,0.0,0.489,7.079,3.4145,17.8,5.7,28.7
90,0.0,0.489,6.417,3.0923,17.8,8.81,22.6
91,0.0,0.489,6.405,3.0921,17.8,8.2,22.0
92,0.0,0.464,6.442,3.6659,18.2,8.16,22.9
93,0.0,0.464,6.211,3.6659,18.2,6.21,25.0
94,0.0,0.464,6.249,3.615,18.2,10.59,20.6
95,0.0,0.445,6.625,3.4952,18.0,6.65,28.4
96,0.0,0.445,6.163,3.4952,18.0,11.34,21.4
97,0.0,0.445,8.069,3.4952,18.0,4.21,38.7
98,0.0,0.445,7.82,3.4952,18.0,3.57,43.8
99,0.0,0.445,7.416,3.4952,18.0,6.19,33.2
100,0.0,0.52,6.727,2.7778,20.9,9.42,27.5
101,0.0,0.52,6.781,2.8561,20.9,7.67,26.5
102,0.0,0.52,6.405,2.7147,20.9,10.63,18.6
103,0.0,0.52,6.137,2.7147,20.9,13.44,19.3
104,0.0,0.52,6.167,2.421,20.9,12.33,20.1
105,0.0,0.52,5.851,2.1069,20.9,16.47,19.5
106,0.0,0.52,5.836,2.211,20.9,18.66,19.5
107,0.0,0.52,6.127,2.1224,20.9,14.09,20.4
108,0.0,0.52,6.474,2.4329,20.9,12.27,19.8
109,0.0,0.52,6.229,2.5451,20.9,15.55,19.4
110,0.0,0.52,6.195,2.7778,20.9,13.0,21.7
111,0.0,0.547,6.715,2.6775,17.8,10.16,22.8
112,0.0,0.547,5.913,2.3534,17.8,16.21,18.8
113,0.0,0.547,6.092,2.548,17.8,17.09,18.7
114,0.0,0.547,6.254,2.2565,17.8,10.45,18.5
115,0.0,0.547,5.928,2.4631,17.8,15.76,18.3
116,0.0,0.547,6.176,2.7301,17.8,12.04,21.2
117,0.0,0.547,6.021,2.7474,17.8,10.3,19.2
118,0.0,0.547,5.872,2.4775,17.8,15.37,20.4
119,0.0,0.547,5.731,2.7592,17.8,13.61,19.3
120,0.0,0.581,5.87,2.2577,19.1,14.37,22.0
121,0.0,0.581,6.004,2.1974,19.1,14.27,20.3
122,0.0,0.581,5.961,2.0869,19.1,17.93,20.5
123,0.0,0.581,5.856,1.9444,19.1,25.41,17.3
124,0.0,0.581,5.879,2.0063,19.1,17.58,18.8
125,0.0,0.581,5.986,1.9929,19.1,14.81,21.4
126,0.0,0.581,5.613,1.7572,19.1,27.26,15.7
127,0.0,0.624,5.693,1.7883,21.2,17.19,16.2
128,0.0,0.624,6.431,1.8125,21.2,15.39,18.0
129,0.0,0.624,5.637,1.9799,21.2,18.34,14.3
130,0.0,0.624,6.458,2.1185,21.2,12.6,19.2
131,0.0,0.624,6.326,2.271,21.2,12.26,19.6
132,0.0,0.624,6.372,2.3274,21.2,11.12,23.0
133,0.0,0.624,5.822,2.4699,21.2,15.03,18.4
134,0.0,0.624,5.757,2.346,21.2,17.31,15.6
135,0.0,0.624,6.335,2.1107,21.2,16.96,18.1
136,0.0,0.624,5.942,1.9669,21.2,16.9,17.4
137,0.0,0.624,6.454,1.8498,21.2,14.59,17.1
138,0.0,0.624,5.857,1.6686,21.2,21.32,13.3
139,0.0,0.624,6.151,1.6687,21.2,18.46,17.8
140,0.0,0.624,6.174,1.6119,21.2,24.16,14.0
141,0.0,0.624,5.019,1.4394,21.2,34.41,14.4
142,1.0,0.871,5.403,1.3216,14.7,26.82,13.4
143,0.0,0.871,5.468,1.4118,14.7,26.42,15.6
144,0.0,0.871,4.903,1.3459,14.7,29.29,11.8
145,0.0,0.871,6.13,1.4191,14.7,27.8,13.8
146,0.0,0.871,5.628,1.5166,14.7,16.65,15.6
147,0.0,0.871,4.926,1.4608,14.7,29.53,14.6
148,0.0,0.871,5.186,1.5296,14.7,28.32,17.8
149,0.0,0.871,5.597,1.5257,14.7,21.45,15.4
150,0.0,0.871,6.122,1.618,14.7,14.1,21.5
151,0.0,0.871,5.404,1.5916,14.7,13.28,19.6
152,1.0,0.871,5.012,1.6102,14.7,12.12,15.3
153,0.0,0.871,5.709,1.6232,14.7,15.79,19.4
154,1.0,0.871,6.129,1.7494,14.7,15.12,17.0
155,1.0,0.871,6.152,1.7455,14.7,15.02,15.6
156,0.0,0.871,5.272,1.7364,14.7,16.14,13.1
157,0.0,0.605,6.943,1.8773,14.7,4.59,41.3
158,0.0,0.605,6.066,1.7573,14.7,6.43,24.3
159,0.0,0.871,6.51,1.7659,14.7,7.39,23.3
160,1.0,0.605,6.25,1.7984,14.7,5.5,27.0
161,0.0,0.605,7.489,1.9709,14.7,1.73,50.0
162,1.0,0.605,7.802,2.0407,14.7,1.92,50.0
163,1.0,0.605,8.375,2.162,14.7,3.32,50.0
164,0.0,0.605,5.854,2.422,14.7,11.64,22.7
165,0.0,0.605,6.101,2.2834,14.7,9.81,25.0
166,0.0,0.605,7.929,2.0459,14.7,3.7,50.0
167,0.0,0.605,5.877,2.4259,14.7,12.14,23.8
168,0.0,0.605,6.319,2.1,14.7,11.1,23.8
169,0.0,0.605,6.402,2.2625,14.7,11.32,22.3
170,0.0,0.605,5.875,2.4259,14.7,14.43,17.4
171,0.0,0.605,5.88,2.3887,14.7,12.03,19.1
172,0.0,0.51,5.572,2.5961,16.6,14.69,23.1
173,0.0,0.51,6.416,2.6463,16.6,9.04,23.6
174,0.0,0.51,5.859,2.7019,16.6,9.64,22.6
175,0.0,0.51,6.546,3.1323,16.6,5.33,29.4
176,0.0,0.51,6.02,3.5549,16.6,10.11,23.2
177,0.0,0.51,6.315,3.3175,16.6,6.29,24.6
178,0.0,0.51,6.86,2.9153,16.6,6.92,29.9
179,0.0,0.488,6.98,2.829,17.8,5.04,37.2
180,0.0,0.488,7.765,2.741,17.8,7.56,39.8
181,0.0,0.488,6.144,2.5979,17.8,9.45,36.2
182,0.0,0.488,7.155,2.7006,17.8,4.82,37.9
183,0.0,0.488,6.563,2.847,17.8,5.68,32.5
184,0.0,0.488,5.604,2.9879,17.8,13.98,26.4
185,0.0,0.488,6.153,3.2797,17.8,13.15,29.6
186,0.0,0.488,7.831,3.1992,17.8,4.45,50.0
187,0.0,0.437,6.782,3.7886,15.2,6.68,32.0
188,0.0,0.437,6.556,4.5667,15.2,4.56,29.8
189,0.0,0.437,7.185,4.5667,15.2,5.39,34.9
190,0.0,0.437,6.951,6.4798,15.2,5.1,37.0
191,0.0,0.437,6.739,6.4798,15.2,4.69,30.5
192,0.0,0.437,7.178,6.4798,15.2,2.87,36.4
193,0.0,0.401,6.8,6.2196,15.6,5.03,31.1
194,0.0,0.401,6.604,6.2196,15.6,4.38,29.1
195,0.0,0.422,7.875,5.6484,14.4,2.97,50.0
196,0.0,0.404,7.287,7.309,12.6,4.08,33.3
197,0.0,0.404,7.107,7.309,12.6,8.61,30.3
198,0.0,0.404,7.274,7.309,12.6,6.62,34.6
199,0.0,0.403,6.975,7.6534,17.0,4.56,34.9
200,0.0,0.403,7.135,7.6534,17.0,4.45,32.9
201,0.0,0.415,6.162,6.27,14.7,7.43,24.1
202,0.0,0.415,7.61,6.27,14.7,3.11,42.3
203,0.0,0.4161,7.853,5.118,14.7,3.81,48.5
204,0.0,0.4161,8.034,5.118,14.7,2.88,50.0
205,0.0,0.489,5.891,3.9454,18.6,10.87,22.6
206,0.0,0.489,6.326,4.3549,18.6,10.97,24.4
207,0.0,0.489,5.783,4.3549,18.6,18.06,22.5
208,1.0,0.489,6.064,4.2392,18.6,14.66,24.4
209,1.0,0.489,5.344,3.875,18.6,23.09,20.0
210,1.0,0.489,5.96,3.8771,18.6,17.27,21.7
211,1.0,0.489,5.404,3.665,18.6,23.98,19.3
212,1.0,0.489,5.807,3.6526,18.6,16.03,22.4
213,0.0,0.489,6.375,3.9454,18.6,9.38,28.1
214,0.0,0.489,5.412,3.5875,18.6,29.55,23.7
215,0.0,0.489,6.182,3.9454,18.6,9.47,25.0
216,1.0,0.55,5.888,3.1121,16.4,13.51,23.3
217,0.0,0.55,6.642,3.4211,16.4,9.69,28.7
218,1.0,0.55,5.951,2.8893,16.4,17.92,21.5
219,1.0,0.55,6.373,3.3633,16.4,10.5,23.0
220,1.0,0.507,6.951,2.8617,17.4,9.71,26.7
221,1.0,0.507,6.164,3.048,17.4,21.46,21.7
222,1.0,0.507,6.879,3.2721,17.4,9.93,27.5
223,0.0,0.507,6.618,3.2721,17.4,7.6,30.1
224,0.0,0.504,8.266,2.8944,17.4,4.14,44.8
225,0.0,0.504,8.725,2.8944,17.4,4.63,50.0
226,0.0,0.504,8.04,3.2157,17.4,3.13,37.6
227,0.0,0.504,7.163,3.2157,17.4,6.36,31.6
228,0.0,0.504,7.686,3.3751,17.4,3.92,46.7
229,0.0,0.504,6.552,3.3751,17.4,3.76,31.5
230,0.0,0.504,5.981,3.6715,17.4,11.65,24.3
231,0.0,0.504,7.412,3.6715,17.4,5.25,31.7
232,0.0,0.507,8.337,3.8384,17.4,2.47,41.7
233,0.0,0.507,8.247,3.6519,17.4,3.95,48.3
234,1.0,0.507,6.726,3.6519,17.4,8.05,29.0
235,0.0,0.507,6.086,3.6519,17.4,10.88,24.0
236,1.0,0.507,6.631,4.148,17.4,9.54,25.1
237,0.0,0.507,7.358,4.148,17.4,4.73,31.5
238,0.0,0.428,6.481,6.1899,16.6,6.36,23.7
239,0.0,0.428,6.606,6.1899,16.6,7.37,23.3
240,0.0,0.428,6.897,6.3361,16.6,11.38,22.0
241,0.0,0.428,6.095,6.3361,16.6,12.4,20.1
242,0.0,0.428,6.358,7.0355,16.6,11.22,22.2
243,0.0,0.428,6.393,7.0355,16.6,5.19,23.7
244,0.0,0.431,5.593,7.9549,19.1,12.5,17.6
245,0.0,0.431,5.605,7.9549,19.1,18.46,18.5
246,0.0,0.431,6.108,8.0555,19.1,9.16,24.3
247,0.0,0.431,6.226,8.0555,19.1,10.15,20.5
248,0.0,0.431,6.433,7.8265,19.1,9.52,24.5
249,0.0,0.431,6.718,7.8265,19.1,6.56,26.2
250,0.0,0.431,6.487,7.3967,19.1,5.9,24.4
251,0.0,0.431,6.438,7.3967,19.1,3.59,24.8
252,0.0,0.431,6.957,8.9067,19.1,3.53,29.6
